Mootmisaeg,Kunda,Ristna,Vaike-Maarja,Toravere,Sorve,Viljandi,Narva-Joesuu,Kuusiku,Laane-Nigula,Parnu,Mustvee,Voru,Tyri,Valga,Tallinn
20.04.2018,57,38,65,57,36,46,90,45,48,29,34,64,54,71,43
21.04.2018,57,38,65,57,36,46,92,45,48,29,35,64,54,71,42
22.04.2018,56,38,65,57,35,46,89,44,48,29,34,64,54,71,42
23.04.2018,57,39,65,57,36,46,89,45,48,29,34,65,55,71,42
24.04.2018,57,39,66,57,36,47,90,46,48,31,35,65,55,72,43
25.04.2018,56,38,65,58,35,46,90,45,48,30,34,65,54,71,42
26.04.2018,55,38,65,57,35,46,88,45,49,30,34,64,54,70,42
27.04.2018,56,38,64,57,35,46,89,44,47,29,34,64,53,70,42
28.04.2018,56,38,64,56,35,46,89,44,47,29,34,64,53,70,42
29.04.2018,56,38,64,57,36,47,89,45,48,30,35,64,54,71,43
30.04.2018,55,39,64,58,38,46,89,45,48,30,34,65,54,72,43
01.05.2018,57,40,66,57,37,48,90,46,50,32,35,65,55,72,44
02.05.2018,56,38,64,58,35,45,89,45,48,29,34,64,54,71,43
03.05.2018,57,38,66,57,37,47,90,45,48,33,36,66,55,72,44
04.05.2018,56,38,64,59,35,45,89,44,47,29,34,64,54,71,42
05.05.2018,56,38,65,57,35,46,89,45,48,29,35,64,54,71,43
06.05.2018,57,38,66,57,35,46,90,45,48,29,35,65,55,72,43
07.05.2018,57,38,65,58,35,46,91,45,48,29,35,65,55,72,43
08.05.2018,57,39,66,58,36,47,92,46,49,30,35,66,56,73,43
09.05.2018,57,39,66,59,36,47,93,46,49,30,35,66,56,73,42
10.05.2018,58,39,67,59,36,48,94,46,50,30,35,67,57,74,43
11.05.2018,58,40,68,59,36,48,96,47,50,30,36,69,58,75,43
12.05.2018,59,40,69,60,37,49,97,47,51,31,36,70,59,76,43
13.05.2018,61,41,69,61,37,49,99,48,51,31,36,70,59,77,43
14.05.2018,60,41,70,62,37,50,100,49,52,31,36,71,60,78,43
15.05.2018,59,41,70,63,38,51,101,49,52,32,37,73,60,79,43
16.05.2018,60,42,71,64,38,51,102,49,53,32,38,72,61,79,44
17.05.2018,60,42,72,64,38,51,103,49,53,32,38,72,61,81,44
18.05.2018,60,42,72,64,38,53,104,50,54,34,38,73,61,76,44
19.05.2018,60,42,72,65,38,49,103,49,51,31,37,71,58,75,44
20.05.2018,60,42,73,64,39,50,104,50,52,31,37,72,59,77,44
21.05.2018,61,43,74,65,39,51,106,50,53,32,38,73,61,78,44
22.05.2018,60,43,73,65,39,51,106,50,53,32,38,73,61,79,44
23.05.2018,60,43,74,65,39,51,106,50,53,32,39,74,61,79,44
24.05.2018,60,43,74,66,39,51,107,50,53,32,38,74,61,80,44
25.05.2018,60,43,74,66,39,51,108,51,54,32,38,74,61,80,44
26.05.2018,61,43,75,66,39,52,108,51,54,32,39,75,62,81,44
27.05.2018,61,43,75,67,39,52,108,52,54,33,39,75,62,82,44
28.05.2018,60,43,75,67,39,52,109,51,54,33,39,75,63,82,44
29.05.2018,61,43,76,67,40,52,109,52,54,33,39,75,63,83,44
30.05.2018,60,43,76,68,39,52,109,52,54,33,39,75,63,83,44
31.05.2018,60,43,75,68,40,52,109,51,54,33,39,75,63,83,44
01.06.2018,61,44,77,68,40,53,110,52,55,34,40,76,63,84,44
02.06.2018,62,44,77,69,40,53,111,53,55,34,40,77,63,85,45
03.06.2018,61,44,76,70,40,52,111,52,55,34,40,76,63,85,45
04.06.2018,60,43,77,69,40,53,111,53,55,34,41,78,64,85,45
05.06.2018,60,43,76,69,39,52,110,51,54,33,39,73,61,84,44
06.06.2018,59,43,76,67,39,52,109,51,54,33,39,74,62,84,44
07.06.2018,60,44,76,67,39,53,110,52,55,35,39,75,62,85,44
08.06.2018,60,43,76,69,39,52,111,52,54,33,40,74,62,83,44
09.06.2018,61,43,77,68,40,51,112,52,55,34,40,74,63,84,45
10.06.2018,62,43,78,68,40,52,113,53,55,34,41,76,64,85,45
11.06.2018,61,44,78,69,41,53,113,53,56,35,41,76,64,86,45
12.06.2018,61,45,77,70,39,54,112,52,55,35,42,76,64,82,46
13.06.2018,61,43,76,70,38,50,113,50,55,34,39,73,63,80,45
14.06.2018,61,43,77,67,39,51,112,51,55,35,39,74,64,82,45
15.06.2018,60,43,78,68,39,52,113,51,55,34,40,75,64,82,45
16.06.2018,61,44,78,69,39,52,114,52,55,35,40,76,64,84,45
17.06.2018,61,44,78,70,40,53,114,52,56,35,41,77,65,85,46
18.06.2018,61,44,78,70,40,53,114,52,56,35,41,77,65,84,46
19.06.2018,60,43,78,70,39,52,114,52,55,34,41,76,64,85,45
20.06.2018,60,43,76,69,39,52,112,52,54,34,40,76,63,84,45
21.06.2018,59,44,,67,39,51,111,51,54,35,40,75,63,83,44
22.06.2018,61,43,,71,39,51,111,52,53,35,42,76,64,87,46
23.06.2018,58,41,71,62,37,49,105,48,50,33,39,72,60,76,44
24.06.2018,58,41,72,63,41,49,106,48,49,32,39,73,60,76,44
25.06.2018,62,42,74,67,37,53,108,51,53,36,42,75,62,86,46
26.06.2018,58,42,71,62,36,48,105,49,51,34,38,67,61,73,44
27.06.2018,59,41,73,62,36,49,108,49,50,33,39,68,61,74,44
28.06.2018,59,42,74,63,36,50,110,50,51,33,39,69,62,75,44
29.06.2018,59,42,75,65,37,50,112,51,51,33,40,71,63,76,44
30.06.2018,59,42,75,65,37,51,111,50,51,34,40,71,63,77,45
01.07.2018,58,42,75,64,37,50,110,49,50,33,40,70,61,76,44
02.07.2018,59,42,75,65,37,51,111,50,51,33,41,71,61,78,44
03.07.2018,62,44,76,66,39,52,111,51,52,35,44,74,63,79,45
04.07.2018,60,51,76,65,44,50,113,52,54,36,39,71,62,75,46
05.07.2018,60,40,75,66,36,51,114,50,50,34,40,70,63,76,44
06.07.2018,62,40,,66,36,50,116,51,50,34,42,70,63,76,45
07.07.2018,64,40,,69,36,51,109,52,51,34,40,71,62,74,45
08.07.2018,58,40,72,65,36,50,100,50,51,34,38,70,61,74,45
09.07.2018,58,41,74,66,37,50,101,51,52,34,39,71,62,75,45
10.07.2018,58,41,74,66,37,50,101,51,53,35,38,,62,75,45
11.07.2018,58,42,75,66,38,50,101,51,53,36,39,71,63,76,45
12.07.2018,59,42,75,67,39,51,103,52,53,33,39,72,63,77,44
13.07.2018,59,42,76,68,39,51,106,52,54,34,40,72,64,78,45
14.07.2018,60,42,76,68,39,52,108,53,52,37,40,73,64,79,45
15.07.2018,60,43,77,69,39,52,109,52,53,34,40,74,64,79,45
16.07.2018,62,43,77,70,39,53,111,53,55,33,40,74,64,80,46
17.07.2018,61,43,77,70,39,52,112,53,54,33,41,75,63,81,45
18.07.2018,60,43,77,70,39,52,112,52,54,33,41,75,64,81,45
19.07.2018,59,43,77,71,39,53,112,52,55,34,41,75,64,82,45
20.07.2018,59,43,77,71,40,53,113,52,55,34,41,76,64,83,45
21.07.2018,61,43,82,74,40,53,113,53,56,34,42,76,66,84,47
22.07.2018,62,44,77,70,40,54,114,54,55,35,42,77,65,85,45
23.07.2018,60,44,77,70,40,53,114,54,55,34,42,77,65,84,45
24.07.2018,60,44,77,72,39,54,116,54,56,35,42,77,65,85,45
25.07.2018,62,44,79,71,40,55,115,55,57,39,42,77,65,86,46
26.07.2018,61,44,78,72,40,51,115,54,56,34,42,78,61,86,45
27.07.2018,61,44,79,72,40,52,116,54,56,35,42,77,62,86,46
28.07.2018,62,44,79,73,41,52,116,55,56,36,43,78,63,87,46
29.07.2018,62,45,79,72,41,53,115,54,56,36,43,78,63,87,46
30.07.2018,61,46,79,72,45,53,115,54,57,36,43,78,64,87,47
31.07.2018,61,45,79,72,40,53,115,54,57,36,43,78,64,87,46
01.08.2018,62,45,79,71,40,53,116,55,56,36,48,78,62,87,47
02.08.2018,61,45,76,72,40,53,116,55,56,36,40,78,63,87,47
03.08.2018,62,45,78,72,40,53,117,55,57,36,41,79,64,88,47
04.08.2018,62,45,78,74,40,54,117,55,57,36,41,79,64,88,46
05.08.2018,61,45,78,72,40,53,115,55,57,36,41,77,64,87,46
06.08.2018,61,44,76,72,39,51,114,49,56,33,40,77,59,87,45
07.08.2018,60,42,76,72,39,52,113,50,55,34,39,76,59,86,45
08.08.2018,60,43,77,71,39,51,113,50,55,33,40,76,60,85,45
09.08.2018,61,43,78,72,39,52,115,52,56,34,40,77,62,87,45
10.08.2018,61,44,79,72,40,53,115,52,56,34,41,78,61,87,46
11.08.2018,61,45,79,73,44,53,116,53,57,37,41,77,62,87,46
12.08.2018,60,43,78,73,38,53,116,51,55,33,41,80,61,87,45
13.08.2018,61,45,79,72,43,54,113,52,56,36,42,77,61,88,47
14.08.2018,59,40,75,70,37,50,110,49,52,33,39,70,59,78,45
15.08.2018,60,41,76,72,44,52,112,49,53,36,41,73,62,82,45
16.08.2018,61,40,79,73,39,53,113,51,54,37,43,78,62,81,46
17.08.2018,61,40,73,67,36,49,114,50,53,33,39,69,59,76,45
18.08.2018,61,40,74,67,37,50,114,49,53,33,40,70,61,78,46
19.08.2018,61,40,74,68,37,50,115,50,54,34,40,71,61,78,46
20.08.2018,60,41,74,68,38,49,112,49,53,33,39,71,59,78,46
21.08.2018,61,43,75,71,39,55,108,50,54,36,42,72,61,78,48
22.08.2018,58,38,70,62,36,47,103,46,50,32,38,67,56,72,44
23.08.2018,58,39,71,63,36,47,101,47,51,32,38,67,56,73,44
24.08.2018,59,40,72,65,37,48,103,48,52,33,39,69,58,75,45
25.08.2018,60,41,75,67,41,50,105,53,56,41,40,70,63,77,46
26.08.2018,61,39,75,72,35,49,118,48,50,33,45,77,58,81,45
27.08.2018,59,40,73,65,36,50,97,48,51,33,40,68,59,75,45
28.08.2018,58,38,71,62,35,47,96,48,51,32,38,67,57,72,45
29.08.2018,58,39,72,64,37,49,97,49,52,33,38,68,59,74,45
30.08.2018,59,39,73,65,37,49,100,50,51,34,40,69,59,74,45
31.08.2018,59,39,74,68,37,49,100,50,52,35,39,70,60,75,46
01.09.2018,60,43,75,65,39,50,98,52,54,35,40,68,58,75,46
02.09.2018,60,41,75,65,38,49,99,50,53,34,39,69,57,74,47
03.09.2018,60,39,76,66,37,50,99,51,53,34,39,69,59,75,47
04.09.2018,61,40,76,67,37,50,100,51,54,35,39,69,57,75,48
05.09.2018,60,40,76,67,38,50,103,52,54,35,40,71,58,76,47
06.09.2018,61,41,76,68,38,50,97,53,55,35,40,70,59,76,47
07.09.2018,62,41,77,70,40,52,100,53,55,37,42,72,60,77,47
08.09.2018,63,42,78,70,40,52,100,53,56,36,42,72,61,78,48
09.09.2018,61,42,78,69,40,52,99,54,56,35,42,73,61,79,47
10.09.2018,65,40,,69,37,51,98,54,55,35,46,72,61,78,47
11.09.2018,61,39,,78,37,51,97,53,55,34,39,74,62,81,48
12.09.2018,63,43,80,67,41,54,105,54,56,38,45,71,60,76,48
13.09.2018,58,38,73,61,36,49,94,49,50,33,38,69,57,73,45
14.09.2018,57,39,71,61,36,47,92,48,50,33,37,68,56,73,44
15.09.2018,57,39,72,62,36,48,93,49,50,32,38,69,56,74,44
16.09.2018,58,39,72,63,38,49,93,50,53,35,39,70,58,75,45
17.09.2018,57,39,72,62,36,47,93,48,50,32,38,70,56,74,45
18.09.2018,59,41,74,64,37,49,95,51,52,35,40,71,57,75,46
19.09.2018,57,39,69,62,37,47,91,47,49,33,37,69,55,73,45
20.09.2018,58,40,71,64,38,49,93,48,50,34,39,71,56,75,45
21.09.2018,57,39,70,64,37,48,93,47,50,33,38,71,55,75,45
22.09.2018,58,40,71,65,38,49,94,48,51,34,39,72,57,76,45
23.09.2018,58,39,72,65,37,49,94,49,51,34,39,72,57,76,46
24.09.2018,57,39,71,63,37,48,92,48,51,33,38,70,56,74,46
25.09.2018,58,39,70,61,37,47,93,47,50,32,38,66,54,71,44
26.09.2018,57,38,70,61,35,46,93,46,49,32,37,66,54,71,44
27.09.2018,58,40,72,64,37,50,95,49,53,35,40,68,57,75,47
28.09.2018,56,40,69,60,36,47,90,47,50,35,37,66,54,72,44
29.09.2018,57,38,69,61,37,49,91,48,49,33,38,66,54,71,44
30.09.2018,56,38,67,59,35,46,91,46,49,31,37,65,53,70,44
01.10.2018,56,38,68,59,35,47,90,48,51,32,36,66,54,71,48
02.10.2018,56,38,68,61,36,47,91,47,48,33,37,66,55,72,44
03.10.2018,57,41,67,62,36,47,91,47,49,32,38,67,55,73,44
04.10.2018,58,43,69,62,36,49,91,49,54,36,38,68,55,74,47
05.10.2018,56,38,66,59,35,46,90,46,48,28,37,66,54,71,43
06.10.2018,57,39,68,60,37,47,92,47,49,29,38,66,56,72,44
07.10.2018,56,39,70,62,36,49,94,50,52,26,39,66,56,72,45
08.10.2018,58,39,68,63,36,54,92,47,49,26,40,69,56,76,45
09.10.2018,56,39,,58,36,46,90,47,48,25,37,65,54,70,44
10.10.2018,56,40,,59,36,47,91,47,49,24,37,66,55,72,45
11.10.2018,57,38,66,59,35,46,90,46,49,21,37,66,55,71,45
12.10.2018,57,38,67,59,36,47,91,47,49,22,38,65,56,71,44
13.10.2018,57,41,68,61,39,48,92,47,50,26,38,67,56,73,45
14.10.2018,59,41,68,62,39,49,92,48,51,28,39,68,57,74,46
15.10.2018,59,42,69,62,39,49,93,48,51,27,40,68,57,74,46
16.10.2018,59,41,68,62,39,49,93,48,51,27,40,68,57,74,46
17.10.2018,60,41,70,63,39,50,94,49,52,26,40,69,58,75,46
18.10.2018,61,42,71,63,40,50,94,50,52,28,41,70,59,77,47
19.10.2018,60,41,70,63,39,50,95,49,51,28,41,70,60,76,47
20.10.2018,57,39,67,60,35,47,91,47,49,26,38,66,55,72,44
21.10.2018,58,39,68,60,36,47,92,48,51,25,39,67,56,73,45
22.10.2018,58,39,69,61,36,48,92,48,50,27,39,68,57,74,45
23.10.2018,57,39,68,60,37,48,92,48,50,27,38,69,57,74,45
24.10.2018,58,43,70,64,41,50,92,52,52,,42,68,59,76,45
25.10.2018,57,43,68,60,43,48,91,50,50,35,40,67,56,76,45
26.10.2018,57,39,66,59,36,46,91,46,49,32,37,65,55,71,44
27.10.2018,57,39,66,59,37,46,92,46,50,31,37,64,55,70,44
28.10.2018,62,41,71,65,48,56,94,55,56,45,47,70,65,77,46
29.10.2018,56,38,64,55,35,39,86,45,47,27,36,65,50,70,43
30.10.2018,55,37,63,55,36,38,87,45,47,27,35,63,50,70,43
31.10.2018,56,39,65,57,37,40,89,46,48,29,37,65,52,71,44
01.11.2018,59,40,,62,37,49,93,48,50,32,42,69,57,75,45
02.11.2018,57,39,,60,37,47,91,47,49,32,38,66,55,72,44
03.11.2018,59,41,70,62,38,50,94,51,54,35,41,68,58,75,47
04.11.2018,57,40,67,59,36,47,91,47,49,32,37,67,55,71,45
05.11.2018,57,38,66,59,35,46,91,46,49,31,37,65,55,71,44
06.11.2018,57,40,67,59,39,47,91,47,50,32,38,65,55,71,44
07.11.2018,59,42,68,61,39,49,92,50,52,34,39,67,58,73,46
08.11.2018,60,42,70,61,39,49,93,49,52,35,40,67,58,73,46
09.11.2018,61,44,70,63,39,51,96,51,54,36,41,68,60,76,47
10.11.2018,61,41,72,62,40,51,94,50,51,34,44,68,60,75,47
11.11.2018,61,42,70,61,40,50,92,50,52,35,41,67,58,74,47
12.11.2018,60,41,,61,39,48,94,49,51,33,41,68,57,73,46
13.11.2018,60,62,,64,48,55,96,59,71,46,43,69,67,77,50
14.11.2018,69,55,,79,45,69,111,77,77,57,55,78,79,99,56
15.11.2018,58,39,,59,35,46,91,46,48,31,37,67,54,71,44
16.11.2018,56,37,65,58,35,45,91,45,48,30,36,64,53,70,43
17.11.2018,56,38,,58,36,46,90,45,48,31,36,65,54,70,43
18.11.2018,56,38,,59,36,46,90,45,48,31,37,66,54,72,44
19.11.2018,56,38,,58,35,46,90,46,47,30,36,64,54,70,43
20.11.2018,56,37,,57,36,45,90,45,47,30,36,63,54,69,43
21.11.2018,57,37,65,58,35,45,91,45,48,30,36,64,54,70,43
22.11.2018,57,38,66,58,36,46,91,46,48,31,37,64,55,71,43
23.11.2018,57,39,65,58,36,46,91,46,48,31,36,64,54,70,43
24.11.2018,57,39,66,58,36,46,92,46,49,31,37,64,55,71,44
25.11.2018,58,39,67,60,37,47,92,48,50,31,38,66,56,72,45
26.11.2018,58,38,67,59,35,47,91,48,50,32,38,64,56,70,44
27.11.2018,58,39,66,59,36,46,90,46,48,31,37,64,55,70,43
28.11.2018,55,38,64,58,35,45,85,45,47,31,37,64,53,69,43
29.11.2018,55,37,63,57,35,45,84,44,46,30,36,64,53,69,43
30.11.2018,55,37,63,57,35,45,84,44,46,30,36,63,53,68,43
01.12.2018,55,38,62,57,36,44,84,44,46,30,36,63,53,67,43
02.12.2018,57,38,65,59,36,46,84,44,47,30,37,65,55,70,43
03.12.2018,56,41,62,58,39,45,86,46,48,32,38,65,53,68,45
04.12.2018,56,43,63,60,45,48,85,49,50,35,39,65,55,69,47
05.12.2018,56,42,66,59,37,49,90,50,51,41,42,67,57,72,46
06.12.2018,55,39,61,56,35,45,88,45,49,29,35,63,52,67,44
07.12.2018,54,38,60,56,35,45,85,43,46,29,34,63,51,68,43
08.12.2018,54,47,61,56,42,46,85,44,47,32,35,62,52,69,43
09.12.2018,56,47,65,60,42,51,89,51,54,43,40,66,59,74,45
10.12.2018,55,43,61,56,42,46,84,46,50,31,36,63,52,68,44
11.12.2018,59,41,66,60,38,51,87,49,52,36,39,66,56,72,46
12.12.2018,60,41,67,62,37,49,87,48,50,33,38,68,56,73,47
13.12.2018,57,39,62,60,35,47,85,46,48,31,37,66,54,71,44
14.12.2018,56,41,62,59,36,47,83,46,48,31,36,65,54,71,45
15.12.2018,56,37,61,57,36,46,84,45,48,30,35,64,54,69,43
16.12.2018,55,37,61,56,35,45,83,44,47,30,34,64,53,69,43
17.12.2018,56,40,61,57,38,45,82,44,48,30,35,64,53,69,43
18.12.2018,57,39,63,60,36,48,83,47,48,32,37,65,55,71,45
19.12.2018,58,41,62,57,36,45,83,45,51,31,37,63,53,67,44
20.12.2018,56,38,58,55,37,46,82,44,45,33,35,62,53,66,44
21.12.2018,56,37,58,54,35,45,81,44,45,30,35,62,52,65,43
22.12.2018,57,39,58,55,36,45,81,44,45,31,36,62,52,66,44
23.12.2018,58,39,59,56,37,46,83,45,46,31,37,63,53,66,45
24.12.2018,63,42,64,59,36,48,84,46,48,35,40,65,54,67,46
25.12.2018,56,35,58,54,35,47,78,45,45,32,34,58,53,65,45
26.12.2018,53,38,57,52,36,44,77,43,44,31,32,56,51,63,44
27.12.2018,51,36,51,48,34,41,73,41,43,27,30,53,48,59,42
28.12.2018,53,38,53,49,36,43,73,43,44,28,31,53,49,59,43
29.12.2018,54,38,,49,36,42,74,42,45,29,30,53,48,60,43
30.12.2018,53,39,,49,37,42,74,43,48,30,31,53,49,59,43
31.12.2018,53,39,51,49,35,42,73,44,48,30,30,52,49,59,44
01.01.2017,58,39,,61,37,52,92,48,50,34,38,67,60,76,45
02.01.2017,56,39,,62,39,51,90,45,49,33,37,69,55,75,43
03.01.2017,56,39,64,55,36,45,89,45,47,30,35,63,53,69,43
04.01.2017,55,38,62,54,35,45,88,44,47,29,34,63,53,69,42
05.01.2017,55,37,,54,33,44,87,43,46,29,34,61,53,68,41
06.01.2017,53,36,,53,33,44,86,42,45,28,34,60,52,66,40
07.01.2017,52,36,57,53,32,43,86,42,45,28,33,61,52,66,40
08.01.2017,53,37,56,53,33,43,87,42,44,29,34,61,52,67,40
09.01.2017,52,36,56,52,33,43,87,41,43,27,33,61,51,67,40
